runtime E0 E1
0.411 1.12934 1.12934
0.412 1.07781 1.07781
0.413 1.03208 1.03208
0.414 0.992223 0.992223
0.415 0.9583 0.9583
0.416 0.930366 0.930366
0.417 0.908467 0.908467
0.418 0.89264 0.89264
0.419 0.882916 0.882916
0.42 0.879313 0.879313
0.421 0.881844 0.881844
0.422 0.890512 0.890512
0.423 0.90531 0.90531
0.424 0.926225 0.926225
0.425 0.953232 0.953232
0.426 0.986301 0.986301
0.427 1.02539 1.02539
0.428 1.07045 1.07045
0.429 1.12142 1.12142
0.43 1.17825 1.17825
0.431 1.24084 1.24084
0.432 1.30914 1.30914
0.433 1.38303 1.38303
0.434 1.46243 1.46243
0.435 1.54724 1.54724
0.436 1.63734 1.63734
0.437 1.73261 1.73261
0.438 1.83294 1.83294
0.439 1.93818 1.93818
0.44 2.04822 2.04822
0.441 2.1629 2.1629
0.442 2.28207 2.28207
0.443 2.4056 2.4056
0.444 2.53331 2.53331
0.445 2.66506 2.66506
0.446 2.80068 2.80068
0.447 2.94 2.94
0.448 3.08285 3.08285
0.449 3.22906 3.22906
0.45 3.37846 3.37846
0.451 3.53087 3.53087
0.452 3.68611 3.68611
0.453 3.84401 3.84401
0.454 4.00437 4.00437
0.455 4.16703 4.16703
0.456 4.3318 4.3318
0.457 4.4985 4.4985
0.458 4.66695 4.66695
0.459 4.83698 4.83698
0.46 5.00839 5.00839
0.461 5.18103 5.18103
0.462 5.35471 5.35471
0.463 5.52925 5.52925
0.464 5.7045 5.7045
0.465 5.88027 5.88027
0.466 6.05641 6.05641
0.467 6.23275 6.23275
0.468 6.40913 6.40913
0.469 6.5854 6.5854
0.47 6.7614 6.7614
0.471 6.93698 6.93698
0.472 7.112 7.112
0.473 7.28632 7.28632
0.474 7.45979 7.45979
0.475 7.63229 7.63229
0.476 7.80368 7.80368
0.477 7.97384 7.97384
0.478 8.14265 8.14265
0.479 8.30999 8.30999
0.48 8.47575 8.47575
0.481 8.63983 8.63983
0.482 8.80212 8.80212
0.483 8.96251 8.96251
0.484 9.12093 9.12093
0.485 9.27728 9.27728
0.486 9.43147 9.43147
0.487 9.58343 9.58343
0.488 9.73307 9.73307
0.489 9.88034 9.88034
0.49 10.0251 10.0251
0.491 10.1675 10.1675
0.492 10.3072 10.3072
0.493 10.4443 10.4443
0.494 10.5787 10.5787
0.495 10.7104 10.7104
0.496 10.8394 10.8394
0.497 10.9655 10.9655
0.498 11.0889 11.0889
0.499 11.2093 11.2093
0.5 11.3269 11.3269
0.501 11.4415 11.4415
0.502 11.5532 11.5532
0.503 11.662 11.662
0.504 11.7678 11.7678
0.505 11.8706 11.8706
0.506 11.9704 11.9704
0.507 12.0673 12.0673
0.508 12.1611 12.1611
0.509 12.252 12.252
0.51 12.3399 12.3399
0.511 12.4248 12.4248
0.512 12.5067 12.5067
0.513 12.5857 12.5857
0.514 12.6617 12.6617
0.515 12.7348 12.7348
0.516 12.8049 12.8049
0.517 12.8722 12.8722
0.518 12.9366 12.9366
0.519 12.9981 12.9981
0.52 13.0568 13.0568
0.521 13.1127 13.1127
0.522 13.1658 13.1658
0.523 13.2162 13.2162
0.524 13.2638 13.2638
0.525 13.3087 13.3087
0.526 13.351 13.351
0.527 13.3906 13.3906
0.528 13.4277 13.4277
0.529 13.4621 13.4621
0.53 13.4941 13.4941
0.531 13.5235 13.5235
0.532 13.5505 13.5505
0.533 13.575 13.575
0.534 13.5972 13.5972
0.535 13.617 13.617
0.536 13.6345 13.6345
0.537 13.6498 13.6498
0.538 13.6628 13.6628
0.539 13.6736 13.6736
0.54 13.6822 13.6822
0.541 13.6887 13.6887
0.542 13.6932 13.6932
0.543 13.6956 13.6956
0.544 13.696 13.696
0.545 13.6944 13.6944
0.546 13.691 13.691
0.547 13.6856 13.6856
0.548 13.6784 13.6784
0.549 13.6694 13.6694
0.55 13.6586 13.6586
0.551 13.6461 13.6461
0.552 13.6318 13.6318
0.553 13.616 13.616
0.554 13.5985 13.5985
0.555 13.5795 13.5795
0.556 13.5589 13.5589
0.557 13.5368 13.5368
0.558 13.5132 13.5132
0.559 13.4882 13.4882
0.56 13.4618 13.4618
0.561 13.434 13.434
0.562 13.4049 13.4049
0.563 13.3746 13.3746
0.564 13.3429 13.3429
0.565 13.3101 13.3101
0.566 13.276 13.276
0.567 13.2408 13.2408
0.568 13.2045 13.2045
0.569 13.167 13.167
0.57 13.1285 13.1285
0.571 13.089 13.089
0.572 13.0485 13.0485
0.573 13.007 13.007
0.574 12.9645 12.9645
0.575 12.9211 12.9211
0.576 12.8769 12.8769
0.577 12.8318 12.8318
0.578 12.7858 12.7858
0.579 12.7391 12.7391
0.58 12.6916 12.6916
0.581 12.6433 12.6433
0.582 12.5943 12.5943
0.583 12.5446 12.5446
0.584 12.4942 12.4942
0.585 12.4432 12.4432
0.586 12.3916 12.3916
0.587 12.3393 12.3393
0.588 12.2865 12.2865
0.589 12.2331 12.2331
0.59 12.1792 12.1792
0.591 12.1247 12.1247
0.592 12.0698 12.0698
0.593 12.0144 12.0144
0.594 11.9585 11.9585
0.595 11.9022 11.9022
0.596 11.8455 11.8455
0.597 11.7884 11.7884
0.598 11.7309 11.7309
0.599 11.673 11.673
0.6 11.6148 11.6148
0.601 11.5563 11.5563
0.602 11.4975 11.4975
0.603 11.4384 11.4384
0.604 11.379 11.379
0.605 11.3194 11.3194
0.606 11.2595 11.2595
0.607 11.1993 11.1993
0.608 11.139 11.139
0.609 11.0785 11.0785
0.61 11.0178 11.0178
0.611 10.9569 10.9569
0.612 10.8958 10.8958
0.613 10.8346 10.8346
0.614 10.7733 10.7733
0.615 10.7119 10.7119
0.616 10.6503 10.6503
0.617 10.5887 10.5887
0.618 10.5269 10.5269
0.619 10.4651 10.4651
0.62 10.4033 10.4033
0.621 10.3413 10.3413
0.622 10.2794 10.2794
0.623 10.2174 10.2174
0.624 10.1554 10.1554
0.625 10.0933 10.0933
0.626 10.0313 10.0313
0.627 9.96929 9.96929
0.628 9.90729 9.90729
0.629 9.8453 9.8453
0.63 9.78335 9.78335
0.631 9.72143 9.72143
0.632 9.65957 9.65957
0.633 9.59776 9.59776
0.634 9.53601 9.53601
0.635 9.47434 9.47434
0.636 9.41274 9.41274
0.637 9.35122 9.35122
0.638 9.2898 9.2898
0.639 9.22847 9.22847
0.64 9.16725 9.16725
0.641 9.10613 9.10613
0.642 9.04514 9.04514
0.643 8.98426 8.98426
0.644 8.92351 8.92351
0.645 8.86289 8.86289
0.646 8.80241 8.80241
0.647 8.74207 8.74207
0.648 8.68188 8.68188
0.649 8.62184 8.62184
0.65 8.56196 8.56196
0.651 8.50224 8.50224
0.652 8.44268 8.44268
0.653 8.38329 8.38329
0.654 8.32408 8.32408
0.655 8.26504 8.26504
0.656 8.20619 8.20619
0.657 8.14752 8.14752
0.658 8.08904 8.08904
