runtime x0 y0 x1 y1
0.27 8.756668 11.191183 11.243332 8.808817
0.271 8.758045 11.190388 11.241955 8.809612
0.272 8.759422 11.189591 11.240578 8.810409
0.273 8.760802 11.188793 11.239198 8.811207
0.274 8.762183 11.187993 11.237817 8.812007
0.275 8.763565 11.187191 11.236435 8.812809
0.276 8.764949 11.186389 11.235051 8.813611
0.277 8.766335 11.185585 11.233665 8.814415
0.278 8.767721 11.184779 11.232279 8.815221
0.279 8.769109 11.183973 11.230891 8.816027
0.28 8.770498 11.183165 11.229502 8.816835
0.281 8.771888 11.182356 11.228112 8.817644
0.282 8.773280 11.181546 11.226720 8.818454
0.283 8.774672 11.180735 11.225328 8.819265
0.284 8.776065 11.179924 11.223935 8.820076
0.285 8.777460 11.179111 11.222540 8.820889
0.286 8.778855 11.178298 11.221145 8.821702
0.287 8.780250 11.177483 11.219750 8.822517
0.288 8.781647 11.176669 11.218353 8.823331
0.289 8.783044 11.175853 11.216956 8.824147
0.29 8.784441 11.175037 11.215559 8.824963
0.291 8.785839 11.174221 11.214161 8.825779
0.292 8.787237 11.173405 11.212763 8.826595
0.293 8.788636 11.172588 11.211364 8.827412
0.294 8.790035 11.171771 11.209965 8.828229
0.295 8.791434 11.170953 11.208566 8.829047
0.296 8.792833 11.170136 11.207167 8.829864
0.297 8.794232 11.169319 11.205768 8.830681
0.298 8.795630 11.168502 11.204370 8.831498
0.299 8.797029 11.167685 11.202971 8.832315
0.3 8.798427 11.166868 11.201573 8.833132
0.301 8.799825 11.166052 11.200175 8.833948
0.302 8.801222 11.165237 11.198778 8.834763
0.303 8.802619 11.164422 11.197381 8.835578
0.304 8.804015 11.163607 11.195985 8.836393
0.305 8.805410 11.162794 11.194590 8.837206
0.306 8.806805 11.161981 11.193195 8.838019
0.307 8.808198 11.161169 11.191802 8.838831
0.308 8.809590 11.160359 11.190410 8.839641
0.309 8.810981 11.159549 11.189019 8.840451
0.31 8.812371 11.158741 11.187629 8.841259
0.311 8.813759 11.157934 11.186241 8.842066
0.312 8.815145 11.157129 11.184855 8.842871
0.313 8.816530 11.156325 11.183470 8.843675
0.314 8.817914 11.155523 11.182086 8.844477
0.315 8.819295 11.154723 11.180705 8.845277
0.316 8.820674 11.153925 11.179326 8.846075
0.317 8.822051 11.153129 11.177949 8.846871
0.318 8.823426 11.152336 11.176574 8.847664
0.319 8.824798 11.151544 11.175202 8.848456
0.32 8.826168 11.150755 11.173832 8.849245
0.321 8.827536 11.149969 11.172464 8.850031
0.322 8.828900 11.149186 11.171100 8.850814
0.323 8.830262 11.148405 11.169738 8.851595
0.324 8.831620 11.147627 11.168380 8.852373
0.325 8.832975 11.146853 11.167025 8.853147
0.326 8.834327 11.146082 11.165673 8.853918
0.327 8.835676 11.145314 11.164324 8.854686
0.328 8.837020 11.144550 11.162980 8.855450
0.329 8.838361 11.143789 11.161639 8.856211
0.33 8.839698 11.143032 11.160302 8.856968
0.331 8.841031 11.142280 11.158969 8.857720
0.332 8.842360 11.141531 11.157640 8.858469
0.333 8.843685 11.140787 11.156315 8.859213
0.334 8.845004 11.140048 11.154996 8.859952
0.335 8.846319 11.139313 11.153681 8.860687
0.336 8.847630 11.138582 11.152370 8.861418
0.337 8.848935 11.137857 11.151065 8.862143
0.338 8.850235 11.137137 11.149765 8.862863
0.339 8.851530 11.136422 11.148470 8.863578
0.34 8.852819 11.135713 11.147181 8.864287
0.341 8.854102 11.135009 11.145898 8.864991
0.342 8.855380 11.134311 11.144620 8.865689
